Image ID, Detector, Descriptor, Total Keypoints, Vehicle Keypoints, Detector Runtime, Descriptor Runtime, Matched Keypoints, Matcher Runtime,True-Positive %
0, FAST, BRIEF,1824,149,0.97918,1.34101,0,0,-
1, FAST, BRIEF,1832,152,0.98343,0.78142,119,0.59142,78.29%
2, FAST, BRIEF,1810,150,1.2742,1.03771,130,0.58633,86.67%
3, FAST, BRIEF,1817,155,0.96331,0.80646,118,0.57597,76.13%
4, FAST, BRIEF,1793,149,0.94673,0.7432,126,0.56473,84.56%
5, FAST, BRIEF,1796,149,1.00122,0.70369,108,0.54499,72.48%
6, FAST, BRIEF,1788,156,0.95994,0.74164,123,0.82038,78.85%
7, FAST, BRIEF,1695,150,0.93502,0.76586,131,0.65776,87.33%
8, FAST, BRIEF,1749,138,0.97493,0.66525,125,0.53634,90.58%
9, FAST, BRIEF,1770,143,1.01446,0.72334,119,0.49331,83.22%
,,,,,,,,,
0, FAST, ORB,1824,149,1.00912,1.05428,0,0,-
1, FAST, ORB,1832,152,1.42056,1.63702,118,0.63483,77.63%
2, FAST, ORB,1810,150,0.94949,1.04889,123,0.62292,82.00%
3, FAST, ORB,1817,155,0.95808,1.08122,112,0.6204,72.26%
4, FAST, ORB,1793,149,0.96628,1.04632,126,0.62453,84.56%
5, FAST, ORB,1796,149,0.9872,0.99858,106,0.58813,71.14%
6, FAST, ORB,1788,156,0.95385,1.08884,122,1.03032,78.21%
7, FAST, ORB,1695,150,0.96812,1.01701,122,0.63629,81.33%
8, FAST, ORB,1749,138,1.02761,1.13351,123,0.57729,89.13%
9, FAST, ORB,1770,143,1.34473,1.63135,119,0.52593,83.22%
,,,,,,,,,
0, FAST, SIFT,1824,149,1.05875,28.02629,0,0,-
1, FAST, SIFT,1832,152,1.00256,29.1225,118,1.73594,77.63%
2, FAST, SIFT,1810,150,0.98532,29.67859,123,1.10187,82.00%
3, FAST, SIFT,1817,155,0.97175,29.49049,110,1.1124,70.97%
4, FAST, SIFT,1793,149,0.97442,33.82833,119,1.09383,79.87%
5, FAST, SIFT,1796,149,1.02933,38.38671,114,1.05005,76.51%
6, FAST, SIFT,1788,156,0.96006,34.49032,119,1.07235,76.28%
7, FAST, SIFT,1695,150,1.32179,36.81218,123,1.10497,82.00%
8, FAST, SIFT,1749,138,0.96643,37.16486,117,1.02414,84.78%
9, FAST, SIFT,1770,143,1.28444,36.53088,103,0.96615,72.03%
